# other.txt
# Формат: LEVEL|TYPE|STATEMENT|WISDOM_PROMPT
# Универсальные утверждения об ИИ и технологиях

# === РАУНД 1 (простой) ===
1|false|ИИ уже сейчас умнее человека в любой области и может заменить любого специалиста.|В каких областях ИИ превосходит человека, а в каких уступает?
1|true|ИИ превосходит человека в задачах с чёткими правилами (шахматы, анализ паттернов), но уступает в творческих.|Какие задачи ИИ решает лучше человека, а какие — хуже? Приведи примеры.
1|false|ChatGPT и другие LLM никогда не ошибаются — можно полностью им доверять.|Насколько точны ответы ChatGPT и других LLM? Бывают ли ошибки?
1|true|Все современные LLM имеют проблему "галлюцинаций" — генерации ложной информации.|Что такое галлюцинации LLM? Как часто они случаются?

# === РАУНД 2 (средний) ===
2|false|World Economic Forum: к 2025 году 80% всех профессий будут полностью автоматизированы ИИ.|Что WEF говорит о влиянии ИИ на рынок труда? Какой процент профессий затронут?
2|true|World Economic Forum прогнозирует, что ИИ создаст 97 миллионов новых рабочих мест к 2025 году.|Что WEF говорит о создании новых рабочих мест благодаря ИИ? Приведи данные.
2|false|Бесплатные ИИ-инструменты полностью заменили платные — никто больше не платит за подписки.|Используются ли платные ИИ-инструменты? Какова ситуация с подписками на ИИ-сервисы?
2|true|ChatGPT Plus и другие платные подписки предлагают значительно расширенный функционал.|Чем отличаются платные версии ИИ-инструментов от бесплатных?

# === РАУНД 3 (сложный) ===
3|false|Goldman Sachs: к 2027 году 300 миллионов рабочих мест исчезнут полностью без возможности переквалификации.|Что Goldman Sachs говорит о 300 миллионах рабочих мест? Исчезнут ли они полностью?
3|true|Goldman Sachs прогнозирует, что генеративный ИИ затронет 300 миллионов рабочих мест, но большинство будет трансформировано.|Что именно Goldman Sachs говорит о влиянии ИИ на рынок труда? Найди оригинальный отчёт.
3|false|Илон Маск заявил, что AGI (общий искусственный интеллект) создан и скрывается правительством.|Что Илон Маск говорит об AGI? Создан ли общий искусственный интеллект?
3|true|Большинство экспертов прогнозируют появление AGI не раньше 2030-2040 годов.|Когда, по прогнозам экспертов, появится AGI? Приведи мнения разных специалистов.

# === БОНУСНЫЕ ЗАДАНИЯ (Химера) ===
4|false|Исследование MIT: люди, использующие ИИ ежедневно, теряют когнитивные способности на 50%.|Существует ли исследование MIT о влиянии ИИ на когнитивные способности?
4|true|Исследования показывают, что ИИ-инструменты повышают продуктивность работников на 20-40%.|Как ИИ-инструменты влияют на продуктивность? Приведи данные исследований.
5|false|OpenAI объявила, что GPT-5 будет стоить $1000 в месяц и недоступен для обычных пользователей.|Какие планы OpenAI относительно GPT-5? Какова будет ценовая политика?
5|true|OpenAI продолжает предлагать бесплатный доступ к базовым моделям наряду с платными подписками.|Какова ценовая политика OpenAI? Есть ли бесплатный доступ к моделям?
6|false|Все крупные компании запретили использование ИИ сотрудниками из-за утечек данных.|Запрещают ли компании использование ИИ? Какова реальная политика?
6|true|Многие компании создают внутренние политики использования ИИ, балансируя между инновациями и безопасностью.|Как компании регулируют использование ИИ сотрудниками? Приведи примеры политик.
