# design.txt
# Формат: LEVEL|TYPE|STATEMENT|WISDOM_PROMPT

# === РАУНД 1 (простой) ===
1|false|UX — это только про красоту интерфейса: если UI красивый, UX автоматически хороший.|Чем UX отличается от UI? Приведи примеры, когда красивый UI даёт плохой UX.
1|true|Контраст текста и фона влияет на читаемость и доступность; WCAG рекомендует минимум 4.5:1 для обычного текста.|Проверь требования WCAG по контрасту. Какие значения для обычного и крупного текста?
1|false|Чем больше вариантов на экране, тем выше конверсия — пользователь любит свободу выбора.|Найди исследования/эффект choice overload (парадокс выбора). Как выбор влияет на решения?
1|true|Пользователи часто сканируют страницы по паттернам (например, F-pattern), а не читают линейно.|Что такое F-pattern и где он проявляется? Приведи источники/исследования.

# === РАУНД 2 (средний) ===
2|false|Nielsen Norman Group доказали, что идеальное число шагов в форме — ровно 7, меньше или больше всегда хуже.|Есть ли у NN/g «жёсткая цифра» 7? Какие реальные рекомендации про формы и поля?
2|true|Эвристики Нильсена (10 heuristics) — базовый чеклист для оценки интерфейса и поиска UX-проблем.|Перечисли 3–5 эвристик Нильсена и как они применяются на практике.
2|false|A/B-тесты в дизайне всегда показывают истинную причину роста — статистика там не нужна, достаточно "чувства".|Какие условия нужны для корректного A/B-теста (выборка, длительность, значимость)?
2|true|Accessibility — это не "для меньшинства": улучшения доступности часто повышают общий UX (читаемость, навигация, ясность).|Найди примеры, как доступность улучшает UX для всех (контраст, фокус, кликабельность).

# === РАУНД 3 (сложный) ===
3|false|Material Design и Human Interface Guidelines полностью совпадают; можно использовать их как один единый стандарт.|Сравни подходы Material vs HIG. Чем отличаются принципы и паттерны?
3|true|В UX-исследованиях 5 пользователей часто хватает, чтобы выявить большую часть проблем юзабилити на ранних итерациях (но не все).|Откуда взялась "формула 5 пользователей"? В каких случаях 5 недостаточно?
3|false|Микроанимации всегда увеличивают конверсию; чем больше анимаций, тем лучше продаёт интерфейс.|Когда анимации вредят (нагрузка, задержки, отвлечение)? Приведи рекомендации по motion.
3|true|Ошибки и пустые состояния (empty/error states) — часть дизайна: хорошо написанные сообщения снижают отток и обращения в саппорт.|Какие принципы хороших error messages? Приведи примеры "плохого" и "хорошего" текста.
