# video.txt
# Формат: LEVEL|TYPE|STATEMENT|WISDOM_PROMPT

# === РАУНД 1 (простой) ===
1|false|Sora от OpenAI уже заменила всех видеооператоров. Голливуд массово увольняет съёмочные группы.|Какие реальные возможности у Sora? Заменяет ли она видеооператоров?
1|true|ИИ-инструменты (Runway, Pika) могут генерировать короткие видеоклипы 3-10 секунд.|Какой длины видео могут генерировать современные ИИ? Приведи примеры инструментов.
1|false|Вертикальное видео устарело — все платформы вернулись к горизонтальному формату.|Актуально ли вертикальное видео в 2024-2025? Какие форматы популярны?
1|true|Короткие видео (до 60 секунд) показывают наивысшую вовлечённость на большинстве платформ.|Какая оптимальная длина видео для соцсетей? Приведи статистику вовлечённости.

# === РАУНД 2 (средний) ===
2|false|Netflix объявила, что к 2025 году 60% контента будет создаваться полностью ИИ.|Что Netflix говорит об использовании ИИ в создании контента? Есть ли такие планы?
2|true|Netflix и другие стриминги используют ИИ для оптимизации: рекомендации, превью, локализация.|Как стриминговые платформы используют ИИ? В каких процессах?
2|false|YouTube отменяет монетизацию для всех каналов с 2025 года.|Планирует ли YouTube отменять монетизацию? Какие актуальные правила?
2|true|YouTube Shorts конкурирует с TikTok, достигнув 50 миллиардов просмотров в день.|Какова статистика YouTube Shorts? Сколько просмотров в день?

# === РАУНД 3 (сложный) ===
3|false|Variety 2024: зрители не отличают ИИ-фильмы от снятых людьми, 73% предпочитают ИИ-контент.|Существует ли исследование Variety о восприятии ИИ-видео? Какие реальные данные?
3|true|Эксперты прогнозируют, что ИИ-генерация видео достигнет коммерческого качества к 2027-2028 году.|Когда ИИ-генерация видео достигнет профессионального качества? Какие прогнозы?
3|false|Камеры смартфонов превзошли профессиональное оборудование — RED и ARRI закрываются.|Сравнимы ли камеры смартфонов с профессиональным оборудованием? Что с RED и ARRI?
3|true|iPhone и Android-флагманы используются профессионалами для определённых типов съёмки.|Используют ли профессионалы смартфоны для съёмки? В каких случаях?
