# management.txt
# Формат: LEVEL|TYPE|STATEMENT|WISDOM_PROMPT

# === РАУНД 1 (простой) ===
1|false|ИИ уже сейчас может полностью заменить менеджеров среднего звена. Компании массово их увольняют.|Могут ли ИИ-системы заменить менеджеров? Есть ли данные о массовых увольнениях менеджеров из-за ИИ?
1|true|ИИ-ассистенты могут автоматизировать до 30% административных задач менеджера.|Какие задачи менеджера можно автоматизировать с помощью ИИ? Какой процент работы?
1|false|Удалённая работа провалилась — все компании вернули сотрудников в офисы к 2025 году.|Какова ситуация с удалённой работой в 2024-2025? Вернулись ли компании к офисам?
1|true|Гибридный формат работы остаётся предпочтительным для большинства компаний.|Какой формат работы предпочитают компании — офис, удалёнка или гибрид?

# === РАУНД 2 (средний) ===
2|false|Deloitte 2024: компании, заменившие HR на ИИ, получили рост продуктивности на 450%.|Что Deloitte говорит о замене HR на ИИ? Какие реальные результаты внедрения?
2|true|Компании, внедрившие ИИ в HR-процессы, отмечают ускорение найма на 20-40%.|Как ИИ влияет на скорость найма? Какие данные об автоматизации HR?
2|false|Agile устарел — все возвращаются к Waterfall из-за провалов гибких методологий.|Актуален ли Agile в 2024-2025? Есть ли тренд возвращения к Waterfall?
2|true|По данным опросов, более 70% IT-компаний используют Agile-методологии в той или иной форме.|Какой процент компаний использует Agile? Приведи актуальную статистику.

# === РАУНД 3 (сложный) ===
3|false|HBR: к 2026 году 90% управленческих решений в Fortune 500 будут приниматься автономным ИИ.|Что Harvard Business Review говорит о роли ИИ в принятии решений? Существует ли такой прогноз?
3|true|Harvard Business Review отмечает, что ИИ лучше всего работает как "советник" руководителя.|Как HBR позиционирует роль ИИ в управлении? ИИ — помощник или замена?
3|false|McKinsey: micromanagement повышает продуктивность на 200% — нужен тотальный контроль.|Что McKinsey говорит о micromanagement? Повышает ли он продуктивность?
3|true|Исследования показывают, что автономия сотрудников повышает их продуктивность и удовлетворённость.|Как автономия влияет на продуктивность сотрудников? Приведи исследования.

# === БОНУСНЫЕ ЗАДАНИЯ (Химера) ===
4|false|Совещания длиной 3 часа самые эффективные — доказано исследованием Stanford.|Какова оптимальная длина совещаний? Что говорят исследования об эффективности встреч?
4|true|Исследования показывают, что встречи дольше 45 минут резко теряют эффективность.|Как длина совещания влияет на эффективность? Какова оптимальная продолжительность?
5|false|KPI устарели — современные компании полностью отказались от метрик.|Используются ли KPI в современных компаниях? Есть ли альтернативы?
5|true|OKR (Objectives and Key Results) становится популярной альтернативой традиционным KPI.|Что такое OKR и как это соотносится с KPI? Какие компании используют OKR?
6|false|Исследование Gallup: зарплата — единственный фактор мотивации сотрудников.|Что говорит Gallup о факторах мотивации сотрудников? Только ли зарплата важна?
6|true|По данным Gallup, вовлечённость менеджера влияет на вовлечённость команды на 70%.|Как вовлечённость менеджера влияет на команду? Приведи данные Gallup.
